time,ax,ay,az,gx,gy,gz,temp
7854,0.3330078,0.9265137,-0.1665039,-0.04580153,-0.7709923,1.152672,25.68235
7839,0.3444824,0.9223633,-0.1850586,-0.2900764,-0.2366412,0.5877862,25.68235
7794,0.3491211,0.9211426,-0.1784668,-0.5725191,-0.740458,0.07633588,25.68235
7820,0.3452148,0.9309082,-0.1677246,-0.2519084,-0.6870229,-0.3435115,25.68235
7813,0.3364258,0.9296875,-0.1721191,-0.1450382,-1.053435,-0.05343511,25.68235
7768,0.3288574,0.9311523,-0.1760254,-0.3206107,-0.6183206,0.5725191,25.63529
7813,0.3269043,0.9255371,-0.1767578,-0.5572519,-0.3587786,0.5954198,25.72941
7795,0.3474121,0.9267578,-0.1716309,-0.8167939,-0.4122138,0.4198473,25.77647
7798,0.3444824,0.9228516,-0.1689453,-0.9923664,0.1908397,0.05343511,25.82353
7832,0.3398438,0.9260254,-0.157959,-0.9236641,-0.740458,-0.1679389,25.77647
7802,0.6181641,1.091064,0.04614258,136.7786,250.1298,-17.38168,25.82353
8182,0.9047852,0.7670898,-0.2741699,82.56489,217.7405,-36.67939,25.91765
7842,0.4455566,0.7719727,-0.4614258,15.36641,-13.53435,-43.28244,25.77647
7829,-0.140625,1.193848,-0.5698242,34.19847,126.4275,-81.05344,25.82353
7825,-0.001708984,0.8632813,-0.4064941,-31.38931,0.8778625,20.77863,25.77647
7807,0.1147461,0.9758301,-0.2905273,-26.9542,11.69466,9.961832,25.72941
7817,0.2275391,1.007813,0.02539063,-23.73282,-8.305344,23.77863,25.68235
7774,0.1860352,0.923584,-0.04541016,-16.42748,5.145038,32.61069,25.87059
7817,0.2260742,0.9814453,0.02880859,-2.21374,-2.290076,37.16794,25.82353
7763,0.4274902,0.9262695,0.007324219,7.114504,6.183206,23.82443,25.82353
7813,0.5441895,0.8737793,0.009277344,12.93893,5.603054,13.76336,25.77647
7792,0.5976563,0.8876953,-0.1403809,13.41985,1.427481,0.0610687,25.82353
7807,0.4807129,0.904541,-0.2424316,9.862596,0.1603053,-8.030535,25.87059
7786,0.3259277,0.918457,-0.2565918,1.442748,-0.8167939,-6.748092,25.87059
7800,0.2705078,0.9345703,-0.2094727,0.09160305,-0.8931297,-2.854962,25.77647
8176,0.2741699,0.9487305,-0.1833496,-1.122137,0.03816794,1.908397,25.87059
7856,0.3293457,0.9370117,-0.1552734,-0.5648855,-0.06870229,3.48855,25.82353
7760,0.3540039,0.9272461,-0.1384277,0.9541985,0.09160305,2.587786,25.87059
7808,0.390625,0.9162598,-0.1520996,1.061069,-1.709924,-0.09160305,25.82353
7818,0.3723145,0.9145508,-0.1828613,0.6183206,-0.8778625,-2.374046,26.71765
7792,0.347168,0.9204102,-0.1708984,-0.4274809,-1.603053,-2.305344,25.91765
7797,0.324707,0.9291992,-0.1606445,0.129771,-1.282443,-1.167939,25.72941
7772,0.3256836,0.9331055,-0.159668,0.09923664,-0.7862596,0.2061069,25.87059
7833,0.3261719,0.9262695,-0.182373,-0.5267176,-0.8473283,0.6564885,25.72941
7813,0.34375,0.9309082,-0.1762695,-0.7557252,-0.389313,0.9923664,25.87059
7772,0.3376465,0.9313965,-0.1650391,-1.015267,0.4961832,0.832061,25.87059
7809,0.3464355,0.9262695,-0.1616211,-1.328244,0.08396947,0.259542,25.77647
7817,0.3525391,0.9267578,-0.1660156,-1.053435,-0.480916,-0.03816794,25.82353
7839,0.3342285,0.9306641,-0.1621094,-0.6335878,-0.6259542,0.1374046,25.77647
8202,0.348877,0.9299316,-0.1547852,-0.9847328,-0.1832061,1.061069,25.77647
7869,0.3513184,0.9284668,-0.1501465,-0.7099237,-0.5877862,0.3969466,25.77647
7807,0.3415527,0.9296875,-0.1582031,-0.519084,0.2977099,0.259542,25.87059
7794,1.62793,0.8383789,0.008789063,101.9084,250.1298,-40.58779,25.82353
7787,0.6625977,0.5585938,-0.4926758,25.54198,-10.0,-68.52672,25.91765
7828,-0.08276367,0.8811035,-0.7451172,21.15267,73.41985,-86.35878,25.77647
7838,-0.2631836,1.066406,-0.09765625,-1.862595,33.16794,-3.78626,25.91765
7776,0.1193848,0.9277344,-0.3557129,-37.68702,6.091603,1.625954,25.87059
7806,0.1589355,0.9682617,-0.09545898,-33.65649,-10.57252,14.09924,25.82353
7815,0.1318359,0.984375,0.04931641,-20.0458,-1.015267,31.01527,26.71765
7797,0.1838379,0.9602051,0.06298828,-8.030535,8.030535,44.47328,25.77647
7737,0.2409668,0.940918,0.07910156,3.549618,-5.145038,35.64122,26.71765
7771,0.3359375,0.9179688,-0.06176758,15.45038,1.961832,28.87023,25.82353
8154,0.4257813,0.9272461,-0.1799316,15.0,7.839694,17.55725,25.77647
7845,0.5300293,0.8857422,-0.2062988,12.25954,1.503817,6.152672,26.71765
7832,0.5581055,0.8474121,-0.3149414,5.374046,-2.435115,-5.633588,26.01176
7803,0.4077148,0.9128418,-0.2421875,-0.2061069,0.3053435,-9.847328,26.05882
7832,0.3012695,0.9472656,-0.1540527,-1.167939,-3.129771,-6.946565,25.91765
7819,0.2609863,0.9428711,-0.1472168,0.7633588,-3.160305,-2.839695,26.71765
7776,0.2626953,0.9455566,-0.175293,1.48855,-1.358779,1.076336,25.91765
7795,0.2939453,0.9396973,-0.1882324,1.564886,-0.832061,3.541985,25.87059
7771,0.345459,0.9189453,-0.1894531,0.778626,0.4274809,3.091603,26.71765
7802,0.3781738,0.9199219,-0.1789551,-0.1679389,0.03816794,0.1450382,25.87059
7792,0.387207,0.9187012,-0.1733398,-1.312977,-1.954198,-1.984733,26.01176
7824,0.3408203,0.9311523,-0.168457,-0.8931297,-1.305344,-2.022901,25.87059
7807,0.3051758,0.9296875,-0.1674805,-0.6641222,-0.8931297,-0.2290076,25.87059
7809,0.3125,0.9335938,-0.1713867,0.1755725,-0.9007633,1.572519,25.91765
8174,0.3300781,0.9287109,-0.1833496,-0.2366412,-0.3129771,2.015267,26.71765
7850,0.3574219,0.9243164,-0.171875,-1.21374,-0.129771,0.6793893,25.91765
16255,0.3676758,0.9169922,-0.1826172,-2.21374,-0.1603053,-0.740458,25.87059
7894,0.3203125,0.9401855,-0.1477051,-0.9770992,-0.5801527,-0.1374046,25.87059
7834,0.3156738,0.9365234,-0.1630859,-0.3053435,-0.5877862,1.129771,25.91765
7784,0.3339844,0.9291992,-0.1784668,0.1679389,-0.778626,1.587786,26.71765
7807,0.3510742,0.9240723,-0.1816406,-0.6946565,-0.4122138,1.160305,25.87059
7782,0.06616211,0.5371094,-0.3615723,88.01527,250.1298,14.35114,25.87059
7795,0.7905273,0.824707,-0.564209,64.43511,83.78626,-35.77863,26.71765
