ax,ay,az,gx,gy,gz
0.1745605,0.967041,-0.1867676,-0.8244275,-0.6335878,0.351145
0.1733398,0.9709473,-0.1882324,-0.8167939,-0.6564885,0.259542
0.1762695,0.9650879,-0.1848145,-0.9694656,-0.7251908,0.2366412
0.184082,0.9699707,-0.1853027,-0.870229,-0.6335878,0.2290076
0.1704102,0.9714355,-0.1809082,-0.6870229,-0.4427481,0.3206107
0.1799316,0.925293,-0.177002,-1.480916,-0.6717557,0.2900764
0.1877441,0.9758301,-0.1960449,-0.8473283,-1.076336,-0.1450382
0.1784668,0.979248,-0.1586914,-0.4198473,-0.4045802,0.778626
0.1713867,0.9675293,-0.1726074,-1.19084,-0.7557252,-0.02290076
0.1726074,0.9714355,-0.1833496,-0.9312977,-0.648855,0.3435115
0.1730957,0.9645996,-0.1831055,-1.068702,-0.5114504,0.5725191
0.1816406,0.9638672,-0.1867676,-0.8549618,-0.4351145,0.3435115
0.184082,0.9650879,-0.1884766,-0.5648855,-0.519084,0.1145038
0.1821289,0.9648438,-0.1777344,-0.6717557,-0.7022901,0.2442748
ax,ay,az,gx,gy,gz
0.1745605,0.9606934,-0.1738281,0.4732824,-0.09923664,0.07633588
0.1904297,0.9572754,-0.1201172,0.7633588,-0.4503817,0.6793893
0.1862793,0.9394531,-0.1699219,-1.198473,-23.60305,5.427481
0.439209,0.9406738,-0.2666016,-25.72519,-186.7481,-16.57252
0.2304688,0.9621582,-0.2856445,-27.41221,-239.9008,-29.60305
0.0004882813,1.051758,-0.302002,-39.77099,-248.1832,-9.839695
0.02075195,0.9663086,-0.2241211,-44.22901,-248.1832,2.198473
-0.03808594,1.0,-0.1643066,-42.42748,-248.1832,14.75572
-0.005859375,1.00708,-0.09472656,-41.77863,-248.1832,31.16031
0.3085938,1.026123,-0.1005859,-33.43512,-248.1832,24.61832
0.2385254,0.9733887,-0.1445313,-31.39695,-248.1832,21.78626
0.006835938,1.001465,-0.2182617,-26.22901,-164.2519,13.99237
0.2231445,1.031494,-0.2414551,-23.75573,-180.9771,30.52672
0.572998,0.9301758,-0.206543,-35.27481,-237.2595,-5.908397
-0.2546387,1.077148,-0.1855469,-38.91603,208.8473,-84.99236
0.2573242,1.169434,0.07763672,40.05344,145.8168,77.73283
0.3747559,0.9521484,0.5178223,11.62595,189.1069,73.76336
0.442627,0.6889648,-0.2021484,20.94657,196.0458,-11.03817
0.03222656,1.195068,0.3342285,77.25954,233.3817,12.05344
0.1237793,0.8654785,-0.2841797,42.45038,250.1298,3.564885
0.5803223,0.8469238,-0.4035645,43.64122,250.1298,-66.54962
0.008789063,1.012939,-0.1608887,69.72519,224.4275,15.12214
0.776123,0.9206543,-0.4138184,27.9084,250.1298,-37.12977
0.07373047,0.9746094,-0.2265625,38.22901,239.8626,-31.08397
0.02368164,1.067627,-0.01782227,32.54198,250.1298,-4.229008
0.3588867,0.8024902,-0.1982422,19.34351,67.32061,-35.29008
0.6159668,0.9040527,-0.3703613,-0.9465649,-68.07633,-57.37405
-0.213623,1.147461,-0.1677246,-8.061069,15.73282,-54.62595
-0.685791,0.9267578,-0.2980957,-10.73282,12.92366,18.29771
0.08203125,1.090576,-0.0378418,-2.885496,-3.854962,16.35878
0.1157227,0.9750977,-0.0456543,0.5648855,-2.519084,18.27481
0.1943359,0.9291992,-0.1635742,0.5572519,-2.381679,16.62595
0.2739258,0.9763184,-0.1872559,3.244275,-1.48855,11.46565
0.3007813,0.9489746,-0.2368164,-0.3740458,0.832061,3.030534
0.2790527,0.9516602,-0.2331543,-3.351145,-0.01526718,-5.29771
0.190918,0.970459,-0.1743164,-3.824427,-0.2519084,-7.89313
0.1298828,0.9851074,-0.1374512,-1.931298,0.1984733,-7.137404
0.08911133,0.9804688,-0.1337891,1.183206,-0.5954198,-2.29771
0.0793457,0.972168,-0.1809082,1.916031,-0.9847328,1.870229
0.1186523,0.9733887,-0.2160645,1.51145,-0.7709923,3.29771
0.1535645,0.9619141,-0.2224121,-1.412214,-0.9465649,2.885496
0.177002,0.9604492,-0.2077637,-2.679389,-0.259542,1.587786
0.1872559,0.9709473,-0.1682129,-2.442748,-0.4427481,-0.4656488
0.1757813,0.9697266,-0.151123,-0.8778625,-0.5343512,-1.351145
0.1469727,0.9748535,-0.1518555,0.610687,-0.3740458,-1.160305
0.1345215,0.973877,-0.184082,0.740458,-0.7022901,-0.2900764
0.1342773,0.9665527,-0.1989746,-0.3053435,-0.8244275,0.9160305
0.1330566,0.9719238,-0.2089844,-1.221374,-0.4427481,1.473282
0.1496582,0.9719238,-0.1870117,-2.251908,-0.7938931,1.351145
0.1638184,0.9699707,-0.171875,-1.549618,-0.3206107,0.6717557
0.1711426,0.9685059,-0.1608887,-0.5419847,-0.4961832,-0.3358779
0.1604004,0.9729004,-0.1777344,0.1145038,-0.5419847,-0.7480916
0.1506348,0.9750977,-0.1813965,-0.08396947,-0.2900764,-0.4732824
0.1420898,0.9694824,-0.2055664,-0.6259542,-0.6259542,0.1145038
0.161377,0.9655762,-0.175293,-0.4122138,-0.389313,-0.1145038
0.1569824,0.9672852,-0.1831055,-0.5267176,-0.6030535,-0.4580153
0.1530762,0.967041,-0.1777344,-0.7938931,-0.5801527,-0.3053435
0.1425781,0.9414063,-0.2697754,-3.648855,-0.8625955,0.8473283
0.1384277,0.9831543,-0.1928711,-0.8549618,-0.2061069,0.4503817
0.1501465,0.9914551,-0.1574707,-0.2137404,-0.8854962,1.076336
0.1499023,0.9689941,-0.1762695,-1.251908,-0.3816794,0.3129771
0.1591797,0.9682617,-0.1845703,-0.7022901,-0.5343512,0.08396947
0.157959,0.9770508,-0.1772461,-0.3816794,-0.6183206,-0.3358779
0.1455078,0.967041,-0.1772461,-0.7328244,-0.4274809,-0.02290076
0.145752,0.967041,-0.1765137,-0.6717557,-0.3969466,0.3435115
0.1484375,0.9702148,-0.173584,-0.3816794,-0.7099237,0.5343512
0.1530762,0.9765625,-0.1850586,-0.8015267,-0.6793893,0.6183206
0.1525879,0.9697266,-0.1865234,-0.9312977,-0.4351145,0.3206107
0.1494141,0.973877,-0.1816406,-0.9847328,-0.7175572,0.2061069
0.1496582,0.9753418,-0.1779785,-0.8854962,-0.5114504,0.1679389
0.1533203,0.9694824,-0.1789551,-0.8015267,-0.3664122,0.3206107
0.1479492,0.9689941,-0.1872559,-0.6183206,-0.519084,0.2748091
ax,ay,az,gx,gy,gz
0.1503906,0.9741211,-0.1816406,-0.6335878,-0.7251908,0.4656488
0.1584473,0.9851074,-0.2563477,-1.358779,-2.267176,0.5725191
0.2331543,0.9855957,-0.1601563,-1.503817,-50.99237,5.824428
0.3032227,0.9206543,-0.2827148,-14.35878,-119.7328,-4.51145
0.2585449,0.9819336,-0.2429199,-19.18321,-200.855,-9.946565
0.0300293,0.9848633,-0.2541504,-28.64886,-240.4504,-8.091603
-0.1025391,0.9499512,-0.2231445,-32.9542,-248.1832,8.984733
-0.0871582,0.9819336,-0.1813965,-35.0916,-248.1832,21.59542
0.06591797,0.9990234,-0.1433105,-33.44275,-248.1832,25.50382
0.159668,0.9626465,-0.1801758,-35.78626,-248.1832,31.0229
0.2165527,0.970459,-0.2211914,-35.64122,-248.1832,27.86259
0.0402832,0.9648438,-0.2758789,-35.54198,-227.5114,16.50382
0.08886719,0.9724121,-0.2458496,-30.15267,-204.916,52.38931
0.7016602,0.9958496,-0.08935547,-32.87023,-207.6107,11.45038
0.2927246,0.9099121,-0.2937012,-37.82443,142.4351,90.51908
0.2006836,0.666748,-0.4519043,-11.03817,250.1298,43.9771
1.230225,1.255615,0.2958984,65.67939,139.1069,4.641222
-0.04736328,0.9101563,0.2011719,27.68702,250.1298,9.030535
1.353516,0.9428711,-0.6022949,44.56488,227.5191,-44.86259
0.04931641,1.230957,0.2319336,74.75572,250.1298,23.83969
0.6181641,0.9055176,-0.3713379,34.8168,250.1298,-41.49618
0.1625977,1.0979,-0.2463379,59.51145,217.6412,-27.72519
-0.02075195,0.9375,-0.2167969,21.73282,250.1298,-12.19847
0.3601074,0.8547363,-0.4243164,23.77099,230.5496,-66.96183
0.05664063,1.23291,0.1604004,45.9084,241.8626,2.435115
0.4985352,0.6245117,-0.5405273,3.671756,48.96947,12.9313
0.1889648,1.003418,-0.2492676,7.778626,-56.22901,-52.9313
-0.2150879,0.9975586,-0.3469238,-13.46565,19.16031,-61.62595
-0.640625,0.9526367,-0.2932129,-8.625955,17.03817,22.25191
0.128418,1.089844,-0.03637695,-3.709924,-7.259542,20.9313
0.1147461,0.9655762,-0.07470703,-2.473282,-1.458015,22.9313
0.2131348,0.9421387,-0.1779785,-0.09923664,-1.778626,21.74809
0.284668,0.9719238,-0.1870117,2.389313,-0.778626,13.42748
0.3066406,0.9418945,-0.2214355,-0.8015267,-1.328244,3.381679
0.279541,0.958252,-0.2077637,-1.908397,-0.07633588,-3.763359
0.217041,0.9626465,-0.1994629,-3.19084,-0.0610687,-7.450382
0.15625,0.9699707,-0.1508789,-1.946565,-0.4656488,-7.70229
0.1118164,0.9833984,-0.1435547,0.007633588,-0.6183206,-5.564886
0.1049805,0.9763184,-0.1557617,1.389313,-0.6335878,-2.396947
0.1015625,0.9785156,-0.1918945,2.015267,-0.5572519,0.4580153
0.1184082,0.9633789,-0.2131348,0.1603053,-0.4961832,2.083969
0.1411133,0.9667969,-0.2070313,-1.816794,-0.5114504,2.282443
0.1704102,0.9709473,-0.1865234,-2.282443,-0.3358779,1.557252
0.1782227,0.9716797,-0.1728516,-2.244275,-0.6412213,0.1221374
0.1796875,0.9746094,-0.1555176,-0.5343512,-0.4198473,-0.6946565
0.1560059,0.9714355,-0.171875,0.5038168,-0.5572519,-1.10687
0.1416016,0.9694824,-0.1882324,0.2824428,-0.5572519,-0.5419847
0.1337891,0.9682617,-0.2055664,-0.6564885,-0.4503817,0.4045802
0.142334,0.9750977,-0.1865234,-1.694656,-0.6412213,1.152672
0.1540527,0.9719238,-0.1943359,-0.129771,-0.5419847,-0.2366412
0.1428223,0.9648438,-0.1906738,-1.10687,-0.5267176,-0.1145038
0.1437988,0.9763184,-0.1779785,-1.572519,-0.3740458,0.3816794
0.1462402,0.9731445,-0.1704102,-0.9923664,-0.5267176,0.519084
0.1477051,0.972168,-0.1694336,-0.4351145,-0.5877862,0.8244275
0.1538086,0.9711914,-0.1750488,-0.1755725,-0.7099237,0.6259542
0.1550293,0.9672852,-0.1833496,-0.2366412,-0.5648855,0.01526718
0.1557617,0.9726563,-0.1896973,-0.7480916,-0.4961832,-0.1450382
0.1499023,0.9702148,-0.1813965,-1.099237,-0.4580153,0.0610687
0.1469727,0.9733887,-0.1838379,-1.335878,-0.4503817,0.1832061
0.1442871,0.9692383,-0.1765137,-1.061069,-0.5267176,0.4656488
0.145752,0.9716797,-0.1728516,-0.5801527,-0.5648855,0.6412213
0.1503906,0.9694824,-0.1813965,-0.3740458,-0.7175572,0.5801527
0.1567383,0.9716797,-0.1716309,-0.7251908,-0.4961832,0.07633588
0.1542969,0.9736328,-0.1945801,-0.8931297,-0.5572519,-0.01526718
0.1508789,0.9724121,-0.1835938,-0.9389313,-0.4732824,0.0
0.128418,0.9592285,-0.2089844,-2.458015,-0.4503817,0.259542
0.1416016,0.9667969,-0.1660156,-0.8473283,-0.02290076,0.4732824
0.1599121,0.9645996,-0.2026367,-0.8549618,-0.5801527,0.6870229
