ax,ay,az,gx,gy,gz
0.09667969,0.9746094,-0.130127,0.1832061,-0.7022901,0.3740458
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.0949707,0.9711914,-0.1320801,-0.7251908,-0.4122138,0.389313
0.1025391,0.9814453,-0.06689453,1.274809,-2.648855,1.290076
0.1066895,1.071533,-0.123291,-0.7938931,0.07633588,0.5343512
0.2307129,1.022461,-0.1623535,0.5648855,-15.45802,-0.519084
0.6057129,1.01123,-0.1442871,-5.435114,-130.4886,-12.48092
0.07763672,0.9157715,-0.142334,-14.22137,-228.5725,-11.15267
-0.09619141,0.935791,-0.159668,-21.16794,-248.1832,-4.526718
-0.07006836,1.007568,-0.1027832,-16.54198,-248.1832,3.763359
-0.2341309,0.9755859,-0.0378418,-11.82443,-158.5954,8.129771
-0.1035156,0.9362793,-0.175293,-1.061069,-77.32061,42.48855
0.6962891,0.9902344,-0.2397461,-10.59542,-93.38931,16.27481
0.6762695,0.9560547,-0.06689453,0.7328244,-239.7252,-18.38168
0.08007813,0.8649902,-0.1564941,-30.50382,-242.7634,-33.42748
-0.5649414,1.108887,0.2526855,-22.94657,201.9008,-28.27481
0.1208496,0.6213379,-0.4365234,9.366412,160.7252,66.86259
0.255127,1.458008,0.364502,38.9542,200.145,20.38931
0.1450195,0.8703613,-0.07348633,7.763359,250.1298,-1.931298
0.5759277,0.8005371,-0.4072266,20.91603,221.5496,-12.91603
-0.2885742,1.076172,-0.06811523,27.14504,250.1298,21.28244
1.999939,0.7624512,-0.4711914,7.366412,231.5114,-36.62595
-0.3166504,0.9824219,-0.0690918,24.70992,250.1298,14.31298
0.1655273,1.044434,-0.2375488,2.251908,250.1298,-18.80153
0.3127441,0.8596191,-0.4160156,7.458015,236.2824,-27.48092
-0.2849121,1.12793,0.1325684,31.70229,250.1298,56.00763
0.25,0.8979492,-0.1621094,-5.984733,212.0458,-14.09924
0.4125977,0.7719727,-0.4118652,4.396946,124.0076,-4.40458
0.157959,1.148926,-0.08374023,11.48855,46.93893,-5.114504
-0.08862305,0.9765625,-0.1362305,-4.244275,13.53435,2.748092
-0.09326172,0.8981934,-0.203125,-6.007634,8.816793,12.52672
0.168457,0.9873047,-0.1174316,0.7709923,2.48855,6.160306
0.2304688,1.015869,-0.09008789,2.145038,-1.358779,0.1526718
0.1704102,1.00415,-0.08862305,0.3740458,-0.8091603,-3.167939
