ax,ay,az,gx,gy,gz
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1660156,0.9694824,-0.1433105,-0.8396947,-0.5114504,0.03053435
0.1677246,0.9699707,-0.1315918,-0.6946565,-0.480916,0.1679389
0.1616211,0.963623,-0.1450195,-0.6030535,-1.969466,0.07633588
0.1359863,0.9682617,-0.1508789,-0.9312977,-7.412214,1.267176
0.6381836,0.9233398,-0.1523438,-18.73282,-186.1374,-23.41985
0.03955078,1.010742,-0.1594238,-29.9084,-183.3588,-46.35878
-0.2109375,0.9841309,-0.0859375,-19.94657,-184.4198,17.23664
0.1286621,0.963623,-0.1179199,-25.25954,-172.5878,-1.236641
-0.05761719,0.996582,-0.07128906,-7.229008,-179.3588,11.60305
0.1130371,0.8642578,-0.2438965,-9.748092,-169.9237,-25.79389
-0.09838867,0.9553223,-0.08178711,-18.64886,-122.7328,-2.885496
0.1105957,0.963623,-0.0402832,-20.52672,-100.4504,9.114504
1.293701,0.9177246,-0.2338867,-7.137404,-181.1374,-76.12214
-0.1413574,1.131836,0.03222656,-30.37405,-66.03817,-36.14504
-0.7207031,0.9470215,0.3156738,11.40458,144.1374,22.27481
0.1435547,0.9812012,-0.0847168,36.17557,250.1298,24.79389
0.3684082,1.100342,-0.1599121,44.74809,219.3817,73.41985
0.1965332,1.222168,0.07617188,35.44275,250.1298,33.31298
0.6713867,0.8608398,-0.1315918,2.984733,250.1298,-4.366412
0.05761719,0.8898926,-0.4116211,40.13741,250.1298,51.75573
0.05908203,1.328857,0.3693848,56.56488,250.1298,14.31298
0.5522461,0.7109375,0.02197266,37.03053,250.1298,-24.19084
0.09521484,0.9335938,-0.2416992,45.80153,235.1527,-19.9542
0.006591797,1.222168,0.06640625,52.79389,250.1298,-24.45038
0.1745605,0.6032715,-0.2116699,24.80153,222.6336,-42.80153
0.7329102,1.159424,-0.2785645,29.62595,173.6336,-16.18321
0.2226563,1.166992,-0.07055664,20.38931,119.8702,-13.58779
-0.003417969,1.054688,-0.1086426,8.351145,50.08397,-3.175573
0.1079102,1.012451,-0.09594727,-5.992366,-1.0,4.748092
-0.03686523,0.9492188,-0.128418,-5.442748,1.160305,17.51908
0.2756348,0.939209,-0.1396484,0.2977099,-1.70229,6.610687
0.2814941,0.9484863,-0.1352539,-0.7175572,-1.465649,0.7328244
0.2409668,0.9577637,-0.1506348,-1.435114,0.6717557,-2.793893
0.1765137,0.96875,-0.1540527,-0.4427481,-1.038168,-2.656489
0.1013184,0.9794922,-0.1437988,-1.961832,-0.3587786,1.740458
0.1450195,0.9724121,-0.1306152,-1.053435,-0.5419847,2.78626
0.2036133,0.963623,-0.1437988,-1.007634,-0.6259542,0.4198473
0.204834,0.9658203,-0.145752,-0.5114504,-0.8931297,-1.251908
0.1508789,0.9741211,-0.1430664,-0.2900764,-0.8931297,-0.5648855
0.1335449,0.9743652,-0.1369629,-1.435114,-0.3282443,0.9541985
0.154541,0.9665527,-0.1259766,-1.183206,0.1068702,1.396947
0.1850586,0.9592285,-0.1350098,-0.8625955,-0.1450382,0.1755725
0.1821289,0.9641113,-0.1352539,-0.4580153,-0.2824428,-0.4580153
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1674805,0.9672852,-0.1379395,-0.5038168,-0.6030535,-0.2061069
0.1669922,1.011719,-0.1420898,-0.2824428,-0.8091603,0.06870229
0.1276855,0.871582,-0.1972656,-6.152672,-24.07634,0.129771
0.4213867,0.9089355,-0.1503906,-20.0916,-191.0992,-15.0458
-0.06396484,1.022705,-0.08227539,-31.76336,-230.8015,-24.77863
-0.1054688,0.994873,-0.2016602,-36.8168,-226.2977,-6.427481
-0.1149902,1.003906,-0.03442383,-29.03053,-197.1908,9.587787
0.09130859,0.9760742,-0.1435547,-20.90076,-149.8015,17.32825
0.2299805,1.000488,-0.2236328,-17.30534,-132.8092,31.32825
0.3562012,1.025146,-0.1293945,-18.70229,-101.5878,5.221374
0.5422363,0.9099121,-0.07421875,-20.81679,-150.4809,-16.93893
0.1367188,0.9938965,-0.09423828,-18.40458,-118.7481,-7.832061
0.4765625,0.9074707,-0.1374512,-18.05343,-196.3969,-34.03053
-0.1325684,1.077148,-0.08837891,-11.22137,-60.20611,-64.48855
-1.390869,1.259277,0.5195313,35.00763,163.4504,68.66412
0.1311035,0.890625,0.135498,23.40458,250.1298,40.50382
0.3554688,0.5285645,-0.3928223,19.58015,209.6412,31.70229
0.2006836,1.304688,-0.03930664,54.83206,250.1298,11.20611
0.2780762,0.9104004,-0.06323242,33.72519,250.1298,-21.45802
0.2521973,0.5825195,-0.715332,28.70992,242.2672,-24.49618
-0.09057617,1.228271,-0.1315918,45.70992,250.1298,-16.86259
0.3266602,0.6362305,-0.4865723,20.38168,250.1298,-52.53435
0.01269531,1.112793,-0.06689453,45.54962,250.1298,-2.412214
0.2211914,1.054932,-0.003417969,34.48855,250.1298,-22.29008
0.1411133,0.90625,-0.2348633,-3.480916,19.93893,0.7175572
0.1425781,0.9821777,-0.1687012,-4.076336,-0.7328244,4.885496
0.223877,0.9853516,-0.08618164,-0.6259542,-1.923664,4.465649
0.246582,0.9597168,-0.09814453,-0.778626,-1.412214,-0.0610687
0.2131348,0.9589844,-0.1154785,0.2671756,-0.870229,-2.862595
0.1594238,0.9729004,-0.1379395,0.740458,-0.7175572,-1.870229
0.1318359,0.9775391,-0.1552734,-0.8396947,-0.3587786,0.389313
0.1369629,0.9772949,-0.1403809,-1.671756,-0.6412213,2.21374
0.1879883,0.9580078,-0.1206055,-2.557252,-0.09923664,1.351145
0.208252,0.9633789,-0.1164551,-0.6564885,-0.8396947,-0.4580153
0.1877441,0.9743652,-0.1035156,0.1221374,-0.5267176,-0.2213741
0.1518555,0.9660645,-0.1594238,-1.068702,-0.6641222,0.9923664
0.175293,0.9621582,-0.1357422,-1.80916,-0.4122138,0.6946565
0.1916504,0.9667969,-0.1135254,-1.145038,-0.778626,0.2748091
0.1879883,0.9658203,-0.1052246,-0.01526718,-0.5648855,-0.2213741
0.1757813,0.9755859,-0.1418457,0.4885496,-0.6946565,0.04580153
0.1662598,0.9731445,-0.1525879,-0.5572519,-0.3816794,0.4045802
0.1816406,0.963623,-0.135498,-1.473282,-0.08396947,0.4198473
0.1914063,0.9663086,-0.1079102,-1.51145,-0.5648855,0.1755725
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1765137,0.9699707,-0.109375,-0.5114504,-0.778626,0.3053435
0.1936035,0.9780273,-0.09960938,-0.2442748,-1.48855,0.9389313
0.1689453,1.006592,-0.1142578,-1.068702,-0.9541985,0.09160305
0.2883301,0.9604492,-0.1818848,-2.80916,-12.67939,-2.274809
0.8154297,0.9355469,-0.1975098,-18.9313,-157.2595,-21.1145
0.08862305,0.9675293,-0.2609863,-36.15267,-232.8092,-16.61069
0.02050781,0.9719238,-0.1557617,-40.03053,-248.1832,-8.053435
-0.1240234,1.01416,-0.06689453,-35.22901,-239.6336,8.221375
