ax,ay,az,gx,gy,gz
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.1147461,0.9787598,-0.1513672,-0.2900764,-0.5572519,0.351145
0.1130371,0.96875,-0.1755371,-1.114504,-0.7328244,0.480916
1.190674,1.217285,-0.3132324,2.427481,-210.9771,-22.78626
-0.1425781,1.259277,0.2150879,-5.961832,-73.51145,-18.85496
1.253662,0.8986816,-0.4726563,-17.65649,-174.8168,-31.96183
-0.1625977,0.9968262,-0.1369629,3.10687,-248.1832,-13.9542
-0.09912109,0.9289551,0.05175781,-26.62595,-166.3053,-38.86259
-0.03735352,0.822998,-0.4765625,-5.251908,-248.1832,-16.57252
0.5444336,0.8833008,-0.3049316,-8.106871,-248.1832,1.053435
-0.1496582,1.104248,0.1589355,-17.73282,-132.7252,-14.08397
0.2861328,0.8308105,-0.7111816,-24.85496,-223.3817,-9.297709
-0.1547852,1.261719,0.1345215,-10.31298,-233.4351,37.74046
-0.078125,0.840332,-0.1188965,-27.8855,-176.5267,-12.80916
-0.3986816,0.8549805,-0.1049805,-7.129771,56.21374,-0.519084
-0.1193848,1.07666,0.03833008,9.511451,165.542,36.90076
-0.3291016,0.9003906,0.1704102,12.51908,250.1298,56.64885
0.2785645,0.8947754,-0.04711914,21.84733,250.1298,-1.526718
0.3210449,0.8947754,-0.1306152,31.61069,250.1298,2.793893
0.3225098,1.01709,-0.171875,33.89313,249.8092,-0.4732824
0.1921387,1.004639,-0.1809082,29.0458,250.1298,-2.389313
0.342041,0.9855957,-0.267334,25.96183,250.1298,-8.870229
0.2426758,0.9807129,-0.3354492,20.48855,250.1298,-5.908397
0.2011719,1.044678,-0.04907227,21.28244,250.1298,-9.793893
-0.1958008,0.9155273,-0.08813477,9.145039,250.1298,-0.6335878
0.7866211,0.9558105,-0.142334,15.77863,201.145,-9.641221
1.084961,0.7770996,-0.4311523,7.648855,-33.0916,-58.25191
-0.114502,1.101318,-0.2219238,-15.16031,-6.648855,-42.64122
-0.255127,0.8666992,-0.2590332,-8.442748,0.8549618,-14.9084
-0.2678223,0.9804688,-0.1318359,-4.664122,-0.740458,7.633588
-0.1345215,1.016602,-0.002197266,-0.4045802,3.641221,26.27481
0.08129883,0.9770508,-0.07714844,4.625954,1.847328,31.56489
0.5227051,0.9797363,-0.1352539,5.961832,-4.450382,8.587787
0.1855469,0.9663086,-0.2463379,-0.1374046,0.6870229,5.763359
